部数\\頁数, 12, 14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,182,184
30,25100,27000,28900,30800,32800,34700,36600,38500,40400,42400,44300,46200,48100,50000,51900,53900,55800,57700,59600,61500,63500,65400,67300,69200,71100,73000,75000,76900,78800,80700,82600,84600,86500,88400,90300,92200,94100,96100,98000,99900,101800,103700,105700,107600,109500,111400,113300,115200,117200,119100,121000,122900,124800,126800,128700,130600,132500,134400,136300,138300,140200,142100,144000,145900,147900,149800,151700,153600,155500,157400,159400,161300,163200,165100,167000,169000,170900,172800,174700,176600,178500,180500,182400,184300,186200,188100,190100
50,26700,28600,30600,32600,34500,36500,38400,40400,42400,44300,46300,48200,50200,52200,54100,56100,58000,60000,62000,63900,65900,67800,69800,71800,73700,75700,77600,79600,81600,83500,85500,87400,89400,91400,93300,95300,97200,99200,101200,103100,105100,107000,109000,111000,112900,114900,116800,118800,120800,122700,124700,126600,128600,130600,132500,134500,136400,138400,140400,142300,144300,146300,148200,150200,152100,154100,156100,158000,160000,161900,163900,165900,167800,169800,171700,173700,175700,177600,179600,181500,183500,185500,187400,189400,191300,193300,195300
80,29100,31100,33100,35100,37200,39200,41200,43200,45300,47300,49300,51300,53400,55400,57400,59400,61400,63500,65500,67500,69500,71600,73600,75600,77600,79700,81700,83700,85700,87700,89800,91800,93800,95800,97900,99900,101900,103900,105900,108000,110000,112000,114000,116100,118100,120100,122100,124200,126200,128200,130200,132200,134300,136300,138300,140300,142400,144400,146400,148400,150500,152500,154500,156500,158500,160600,162600,164600,166600,168700,170700,172700,174700,176800,178800,180800,182800,184800,186900,188900,190900,192900,195000,197000,199000,201000,203000
100,30700,32700,34800,36900,38900,41000,43100,45100,47200,49300,51300,53400,55400,57500,59600,61600,63700,65800,67800,69900,72000,74000,76100,78200,80200,82300,84400,86400,88500,90600,92600,94700,96700,98800,100900,102900,105000,107100,109100,111200,113300,115300,117400,119500,121500,123600,125700,127700,129800,131800,133900,136000,138000,140100,142200,144200,146300,148400,150400,152500,154600,156600,158700,160800,162800,164900,167000,169000,171100,173100,175200,177300,179300,181400,183500,185500,187600,189700,191700,193800,195900,197900,200000,202100,204100,206200,208200
150,34700,36800,39000,41200,43300,45500,47700,49800,52000,54200,56400,58500,60700,62900,65000,67200,69400,71500,73700,75900,78100,80200,82400,84600,86700,88900,91100,93200,95400,97600,99700,101900,104100,106300,108400,110600,112800,114900,117100,119300,121400,123600,125800,128000,130100,132300,134500,136600,138800,141000,143100,145300,147500,149600,151800,154000,156200,158300,160500,162700,164800,167000,169200,171300,173500,175700,177900,180000,182200,184400,186500,188700,190900,193000,195200,197400,199500,201700,203900,206100,208200,210400,212600,214700,216900,219100,221200
200,38600,40900,43200,45500,47700,50000,52300,54600,56800,59100,61400,63700,65900,68200,70500,72800,75000,77300,79600,81900,84100,86400,88700,91000,93200,95500,97800,100100,102300,104600,106900,109100,111400,113700,116000,118200,120500,122800,125100,127300,129600,131900,134200,136400,138700,141000,143300,145500,147800,150100,152400,154600,156900,159200,161500,163700,166000,168300,170600,172800,175100,177400,179700,181900,184200,186500,188700,191000,193300,195600,197800,200100,202400,204700,206900,209200,211500,213800,216000,218300,220600,222900,225100,227400,229700,232000,234200
250,42600,45000,47400,49800,52100,54500,56900,59300,61700,64000,66400,68800,71200,73600,75900,78300,80700,83100,85500,87800,90200,92600,95000,97400,99700,102100,104500,106900,109200,111600,114000,116400,118800,121100,123500,125900,128300,130700,133000,135400,137800,140200,142600,144900,147300,149700,152100,154400,156800,159200,161600,164000,166300,168700,171100,173500,175900,178200,180600,183000,185400,187800,190100,192500,194900,197300,199600,202000,204400,206800,209200,211500,213900,216300,218700,221100,223400,225800,228200,230600,233000,235300,237700,240100,242500,244900,247200
300,46600,49100,51600,54100,56600,59000,61500,64000,66500,69000,71500,73900,76400,78900,81400,83900,86400,88800,91300,93800,96300,98800,101300,103700,106200,108700,111200,113700,116200,118600,121100,123600,126100,128600,131100,133600,136000,138500,141000,143500,146000,148500,150900,153400,155900,158400,160900,163400,165800,168300,170800,173300,175800,178300,180700,183200,185700,188200,190700,193200,195600,198100,200600,203100,205600,208100,210500,213000,215500,218000,220500,223000,225500,227900,230400,232900,235400,237900,240400,242800,245300,247800,250300,252800,255300,257700,260200
350,50600,53200,55800,58400,61000,63500,66100,68700,71300,73900,76500,79100,81700,84300,86800,89400,92000,94600,97200,99800,102400,105000,107600,110100,112700,115300,117900,120500,123100,125700,128300,130900,133400,136000,138600,141200,143800,146400,149000,151600,154100,156700,159300,161900,164500,167100,169700,172300,174900,177400,180000,182600,185200,187800,190400,193000,195600,198200,200700,203300,205900,208500,211100,213700,216300,218900,221400,224000,226600,229200,231800,234400,237000,239600,242200,244700,247300,249900,252500,255100,257700,260300,262900,265500,268000,270600,273200
